SUBURB_ID,LABEL
11317,"Aerocity Road"
10123,"Agra Central"
10323,"Agra North"
10335,"Agra South"
11206,"Agra West"
10237,"Ahmedabad Central"
10221,"Ahmedabad East"
10226,"Ahmedabad North"
10228,"Ahmedabad South"
10229,"Ahmedabad West"
11081,"Ahmednagar Central"
11082,"Ahmednagar East"
11084,"Ahmednagar North"
11085,"Ahmednagar South"
11083,"Ahmednagar West"
11074,"Air Force Station Dadri"
11178,"Airport Road"
10986,"Ajmer Central"
10987,"Ajmer East"
10989,"Ajmer North"
10990,"Ajmer South"
10988,"Ajmer West"
11339,"Akola East"
11334,"Akola South"
10078,Alambagh
11066,"Alibaugh East"
11100,"Alibaugh West"
10453,"Aligarh Central"
10132,"Allahabad Central"
11208,"Allahabad East"
10412,"Allahabad North"
10430,"Almora South"
10429,"Almora West"
10156,"Alwar Central"
10222,"Alwar Central"
10439,"Alwar North"
11036,"Alwar South"
11035,"Alwar West"
11455,"Ambala Cantt"
10154,"Ambala Central"
11196,"Ambala Chandigarh Expressway NH 152 "
11318,"Ambala Chandigarh Expressway NH 152"
11315,"Ambala Chandigarh Expressway NH 152"
11302,"Ambala North"
11438,"Ambala Sadar"
11430,"Amravati East"
10148,"Amritsar Central"
10119,"Anand Central"
10356,"Anand West"
10168,"Anantapura South"
10042,"Andheri to Dahisar"
10304,"Arambagh Central"
10349,"Arambagh East"
11478,"Arcot Road  Saligramam"
11160,"Asansol Central"
11161,"Asansol East"
11163,"Asansol North"
11164,"Asansol South"
11162,"Asansol West"
11217,"Athens North"
11480,"Aundh Road Pimple Nilakh"
10139,"Aurangabad Central"
11238,"Aurangbad East"
11246,"Aurangbad North"
10655,"Aurangbad West"
11373,"Bagru Central"
10381,Bahadurgarh
11107,"Bahadurgarh Central"
11108,"Bahadurgarh East"
11110,"Bahadurgarh North"
11111,"Bahadurgarh South"
11109,"Bahadurgarh West"
10081,"Bakeri City"
11125,"Balasore Central"
11123,"Balasore East"
11126,"Balasore North"
11127,"Balasore South"
11124,"Balasore West"
10206,Ballabhgarh
10006,"Bangalore Central"
10007,"Bangalore East"
10008,"Bangalore North"
10011,"Bangalore South"
10010,"Bangalore West"
10383,"Bannerghatta Road"
11181,"Banur Highway"
10474,Barabanki
11489,Bardez
10422,"Bareilly Central"
10423,"Bareilly East"
10425,"Bareilly North"
10426,"Bareilly South"
10424,"Bareilly West"
11307,"Bathinda West"
11295,Beawar
11338,"Beed West"
10166,Behror
11195,"Belagavi Central"
11194,"Belagavi North"
10175,"Beyond Panvel"
10191,"Beyond Sector 50"
10043,"Beyond Thane"
11128,"Bhadrak Central"
11129,"Bhadrak East"
11131,"Bhadrak North"
11132,"Bhadrak South"
11130,"Bhadrak West"
10477,"Bharuch Central"
10478,"Bharuch South"
10472,"Bhavnagar South"
11469,Bhilai
11470,"Bhilai Nagar"
11233,"Bhilwara North"
10317,Bhiwadi
10979,"Bhiwadi Chopanki Road"
10110,"Bhopal Central"
10337,"Bhopal East"
10329,"Bhopal North"
10305,"Bhopal South"
10334,"Bhopal West"
10072,Bhopura
10552,"Bhubaneshwar East"
10108,"Bhubaneswar Central"
10308,"Bhubaneswar North"
10311,"Bhubaneswar South"
10344,"Bhubaneswar West"
11204,"Bikaner East"
11205,"Bikaner North"
11341,"Bikaner South"
11304,"Bokaro South"
10542,Bolpur
10981,"Bolpur North"
11266,"Bolpur West"
10416,Brahmapur
11454,Budanpur
10397,"Bulandshahr South"
11254,"Burdwan Central"
10486,"Burdwan North"
10127,"Calicut Central"
10555,"Calicut East"
10492,"Calicut North"
10364,"Calicut South"
10040,"Central Mumbai"
11032,"Chamarajanagar Central"
11030,"Chamarajanagar East"
11033,"Chamarajanagar North"
11034,"Chamarajanagar South"
11031,"Chamarajanagar West"
